date,price
2023-08-22,0.06259
2023-08-23,0.06379
2023-08-24,0.06308
2023-08-25,0.06312
2023-08-26,0.06289
2023-08-27,0.06318
2023-08-28,0.06345
2023-08-29,0.0664
2023-08-30,0.06588
2023-08-31,0.06376
2023-09-01,0.06388
2023-09-02,0.06348
2023-09-03,0.06317
2023-09-04,0.06326
2023-09-05,0.06402
2023-09-06,0.06365
2023-09-07,0.06365
2023-09-08,0.06371
2023-09-09,0.06339
2023-09-10,0.0613
2023-09-11,0.06049
2023-09-12,0.0609
2023-09-13,0.06126
2023-09-14,0.06208
2023-09-15,0.0625
2023-09-16,0.06214
2023-09-17,0.06147
2023-09-18,0.06198
2023-09-19,0.06268
2023-09-20,0.06262
2023-09-21,0.06131
2023-09-22,0.06152
2023-09-23,0.06152
2023-09-24,0.06069
2023-09-25,0.06094
2023-09-26,0.06062
2023-09-27,0.06053
2023-09-28,0.0615
2023-09-29,0.06213
2023-09-30,0.06207
2023-10-01,0.06319
2023-10-02,0.062
2023-10-03,0.06137
2023-10-04,0.06147
2023-10-05,0.06086
2023-10-06,0.06137
2023-10-07,0.06143
2023-10-08,0.06096
2023-10-09,0.05873
2023-10-10,0.05913
2023-10-11,0.05851
2023-10-12,0.05788
2023-10-13,0.05839
2023-10-14,0.05984
2023-10-15,0.05931
2023-10-16,0.06
2023-10-17,0.05904
2023-10-18,0.05858
2023-10-19,0.05887
2023-10-20,0.0599
2023-10-21,0.06119
2023-10-22,0.0617
2023-10-23,0.06742
2023-10-24,0.0666
2023-10-25,0.06832
2023-10-26,0.07185
2023-10-27,0.06776
2023-10-28,0.069
2023-10-29,0.06935
2023-10-30,0.06959
2023-10-31,0.06827
2023-11-01,0.06894
2023-11-02,0.0679
2023-11-03,0.06807
2023-11-04,0.06908
2023-11-05,0.07108
2023-11-06,0.07637
2023-11-07,0.07338
2023-11-08,0.07534
2023-11-09,0.07357
2023-11-10,0.07539
2023-11-11,0.07849
2023-11-12,0.07795
2023-11-13,0.07456
2023-11-14,0.07244
2023-11-15,0.07623
2023-11-16,0.07947
2023-11-17,0.08641
2023-11-18,0.08028
2023-11-19,0.08046
2023-11-20,0.07768
2023-11-21,0.07176
2023-11-22,0.07575
2023-11-23,0.0762
2023-11-24,0.07818
2023-11-25,0.07894
2023-11-26,0.07868
2023-11-27,0.07884
2023-11-28,0.08083
2023-11-29,0.08047
2023-11-30,0.08343
2023-12-01,0.08385
2023-12-02,0.08617
2023-12-03,0.08571
2023-12-04,0.09188
2023-12-05,0.09435
2023-12-06,0.09493
2023-12-07,0.09593
2023-12-08,0.10164
2023-12-09,0.09846
2023-12-10,0.10186
2023-12-11,0.09413
2023-12-12,0.09381
2023-12-13,0.09642
2023-12-14,0.0983
2023-12-15,0.09303
2023-12-16,0.09713
2023-12-17,0.09295
2023-12-18,0.09213
2023-12-19,0.09023
2023-12-20,0.0915
2023-12-21,0.09499
2023-12-22,0.09499
2023-12-23,0.09346
2023-12-24,0.09171
2023-12-25,0.09435
2023-12-26,0.09135
2023-12-27,0.09365
2023-12-28,0.09174
2023-12-29,0.09097
2023-12-30,0.09
2023-12-31,0.08955
2024-01-01,0.09199
2024-01-02,0.0911
2024-01-03,0.08201
2024-01-04,0.08401
2024-01-05,0.08267
2024-01-06,0.08058
2024-01-07,0.07824
2024-01-08,0.0813
2024-01-09,0.07923
2024-01-10,0.08307
2024-01-11,0.08456
2024-01-12,0.08007
2024-01-13,0.08092
2024-01-14,0.08003
2024-01-15,0.08108
2024-01-16,0.08134
2024-01-17,0.08059
2024-01-18,0.07808
2024-01-19,0.07857
2024-01-20,0.08777
2024-01-21,0.08546
2024-01-22,0.08057
2024-01-23,0.07821
2024-01-24,0.07904
2024-01-25,0.07795
2024-01-26,0.07985
2024-01-27,0.08014
2024-01-28,0.07882
2024-01-29,0.08135
2024-01-30,0.07972
2024-01-31,0.07875
2024-02-01,0.07937
2024-02-02,0.07928
2024-02-03,0.07874
2024-02-04,0.07831
2024-02-05,0.07835
2024-02-06,0.07849
2024-02-07,0.08013
2024-02-08,0.07987
2024-02-09,0.08155
2024-02-10,0.08142
2024-02-11,0.08123
2024-02-12,0.08223
2024-02-13,0.08105
2024-02-14,0.0855
2024-02-15,0.08528
2024-02-16,0.08591
2024-02-17,0.08356
2024-02-18,0.08517
2024-02-19,0.08942
2024-02-20,0.08615
2024-02-21,0.08457
2024-02-22,0.0841
2024-02-23,0.08451
2024-02-24,0.08615
2024-02-25,0.08612
2024-02-26,0.08923
2024-02-27,0.09758
2024-02-28,0.11585
2024-02-29,0.11732
2024-03-01,0.13934
2024-03-02,0.14196
2024-03-03,0.15347
2024-03-04,0.18196
2024-03-05,0.15304
2024-03-06,0.15784
2024-03-07,0.15764
2024-03-08,0.16457
2024-03-09,0.17875
2024-03-10,0.16997
2024-03-11,0.182
2024-03-12,0.16816
2024-03-13,0.16897
2024-03-14,0.17719
2024-03-15,0.16357
2024-03-16,0.14253
2024-03-17,0.15428
2024-03-18,0.14353
2024-03-19,0.12881
2024-03-20,0.15209
2024-03-21,0.15537
2024-03-22,0.15292
2024-03-23,0.1619
2024-03-24,0.17651
2024-03-25,0.17526
2024-03-26,0.1823
2024-03-27,0.19047
2024-03-28,0.22001
2024-03-29,0.213
2024-03-30,0.19912
2024-03-31,0.22
2024-04-01,0.20503
2024-04-02,0.18248
2024-04-03,0.17522
2024-04-04,0.17998
2024-04-05,0.1772
2024-04-06,0.18577
2024-04-07,0.19887
2024-04-08,0.2026
2024-04-09,0.18912
2024-04-10,0.19971
2024-04-11,0.1938
2024-04-12,0.17403
2024-04-13,0.15254
2024-04-14,0.16212
2024-04-15,0.16123
2024-04-16,0.156
2024-04-17,0.14756
2024-04-18,0.15221
2024-04-19,0.15633
2024-04-20,0.1626
2024-04-21,0.15825
2024-04-22,0.1612
2024-04-23,0.15979
2024-04-24,0.15139
2024-04-25,0.15127
2024-04-26,0.148
2024-04-27,0.14776
2024-04-28,0.1467
2024-04-29,0.14342
2024-04-30,0.13339
2024-05-01,0.13021
2024-05-02,0.13189
2024-05-03,0.14604
2024-05-04,0.16012
2024-05-05,0.16098
2024-05-06,0.15648
2024-05-07,0.14999
2024-05-08,0.14324
2024-05-09,0.1522
2024-05-10,0.14389
2024-05-11,0.14306
2024-05-12,0.14123
2024-05-13,0.14864
2024-05-14,0.14552
2024-05-15,0.15534
2024-05-16,0.14972
2024-05-17,0.15555
2024-05-18,0.15302
2024-05-19,0.14908
2024-05-20,0.16573
2024-05-21,0.17024
2024-05-22,0.16628
2024-05-23,0.15973
2024-05-24,0.16386
2024-05-25,0.17402
2024-05-26,0.16621
2024-05-27,0.16908
2024-05-28,0.16497
2024-05-29,0.16386
2024-05-30,0.15946
2024-05-31,0.15898
2024-06-01,0.16031
2024-06-02,0.1571
2024-06-03,0.15835
2024-06-04,0.16136
2024-06-05,0.16326
2024-06-06,0.16016
2024-06-07,0.1482
2024-06-08,0.14588
2024-06-09,0.14679
2024-06-10,0.14478
2024-06-11,0.13806
2024-06-12,0.14621
2024-06-13,0.1411
2024-06-14,0.13499
2024-06-15,0.13677
2024-06-16,0.13713
2024-06-17,0.12879
2024-06-18,0.12225
2024-06-19,0.12247
2024-06-20,0.12455
2024-06-21,0.12418
2024-06-22,0.12375
2024-06-23,0.12222
2024-06-24,0.11902
2024-06-25,0.12615
2024-06-26,0.12276
2024-06-27,0.12711
2024-06-28,0.12306
2024-06-29,0.1219
2024-06-30,0.12448
2024-07-01,0.12352
2024-07-02,0.1253
2024-07-03,0.11849
2024-07-04,0.10502
2024-07-05,0.10547
2024-07-06,0.11343
2024-07-07,0.10415
2024-07-08,0.10758
2024-07-09,0.10756
2024-07-10,0.108
2024-07-11,0.10664
2024-07-12,0.10769
2024-07-13,0.11231
2024-07-14,0.11535
2024-07-15,0.1249
2024-07-16,0.12478
2024-07-17,0.12178
2024-07-18,0.11956
2024-07-19,0.12543
2024-07-20,0.13424
2024-07-21,0.14026
2024-07-22,0.13776
2024-07-23,0.13031
2024-07-24,0.12795
2024-07-25,0.12526
2024-07-26,0.13419
2024-07-27,0.13144
2024-07-28,0.13004
2024-07-29,0.12843
2024-07-30,0.12551
2024-07-31,0.12192
2024-08-01,0.11899
2024-08-02,0.11154
2024-08-03,0.10811
2024-08-04,0.10375
2024-08-05,0.09436
2024-08-06,0.09645
2024-08-07,0.09558
2024-08-08,0.10748
2024-08-09,0.10386
2024-08-10,0.10518
2024-08-11,0.10059
2024-08-12,0.10791
2024-08-13,0.10636
2024-08-14,0.1024
2024-08-15,0.10021
2024-08-16,0.10035
2024-08-17,0.10275
2024-08-18,0.10004
2024-08-19,0.10133
2024-08-20,0.10289
2024-08-21,0.10615
2024-08-22,0.10525
2024-08-23,0.11293
2024-08-24,0.11258
2024-08-25,0.10959
2024-08-26,0.1052
2024-08-27,0.09891
2024-08-28,0.09964
2024-08-29,0.10037
2024-08-30,0.10177
2024-08-31,0.10128
2024-09-01,0.09509
2024-09-02,0.09912
2024-09-03,0.09677
2024-09-04,0.098
2024-09-05,0.09842
2024-09-06,0.09254
2024-09-07,0.09539
2024-09-08,0.09616
2024-09-09,0.10376
2024-09-10,0.1028
2024-09-11,0.10131
2024-09-12,0.10269
2024-09-13,0.10696
2024-09-14,0.1054
2024-09-15,0.10281
2024-09-16,0.09964
2024-09-17,0.10112
2024-09-18,0.10385
2024-09-19,0.10499
2024-09-20,0.10555
2024-09-21,0.10993
2024-09-22,0.10633
2024-09-23,0.10807
2024-09-24,0.10979
2024-09-25,0.10849
2024-09-26,0.11818
2024-09-27,0.12351
2024-09-28,0.12806
2024-09-29,0.12438
2024-09-30,0.11421
2024-10-01,0.10685
2024-10-02,0.10462
2024-10-03,0.10507
2024-10-04,0.10924
2024-10-05,0.1094
2024-10-06,0.11159
2024-10-07,0.10841
2024-10-08,0.10709
2024-10-09,0.10794
2024-10-10,0.10603
2024-10-11,0.11077
2024-10-12,0.11138
2024-10-13,0.1114
2024-10-14,0.11669
2024-10-15,0.11748
2024-10-16,0.12573
2024-10-17,0.12967
2024-10-18,0.13716
2024-10-19,0.14407
2024-10-20,0.14214
2024-10-21,0.14367
2024-10-22,0.1397
2024-10-23,0.13997
2024-10-24,0.14188
2024-10-25,0.13161
2024-10-26,0.13747
2024-10-27,0.14426
2024-10-28,0.16146
2024-10-29,0.17586
2024-10-30,0.16828
2024-10-31,0.16164
2024-11-01,0.15916
2024-11-02,0.15955
2024-11-03,0.15139
2024-11-04,0.15822
2024-11-05,0.16999
2024-11-06,0.19646
2024-11-07,0.19324
2024-11-08,0.20197
2024-11-09,0.2189
2024-11-10,0.27778
2024-11-11,0.35136
2024-11-12,0.37985
2024-11-13,0.39903
2024-11-14,0.36254
2024-11-15,0.3815
2024-11-16,0.36421
2024-11-17,0.36704
2024-11-18,0.37113
2024-11-19,0.39067
2024-11-20,0.37778
2024-11-21,0.38664
2024-11-22,0.41277
2024-11-23,0.43015
2024-11-24,0.43023
2024-11-25,0.39264
2024-11-26,0.38705
2024-11-27,0.40093
2024-11-28,0.4016
2024-11-29,0.42636
2024-11-30,0.4216
2024-12-01,0.44045
2024-12-02,0.42457
2024-12-03,0.40632
2024-12-04,0.43274
2024-12-05,0.42682
2024-12-06,0.43467
2024-12-07,0.45281
2024-12-08,0.46635
2024-12-09,0.41403
2024-12-10,0.39392
2024-12-11,0.41402
2024-12-12,0.40611
2024-12-13,0.40901
2024-12-14,0.39828
2024-12-15,0.40659
2024-12-16,0.40195
2024-12-17,0.39415
2024-12-18,0.35824
2024-12-19,0.31431
2024-12-20,0.31793
2024-12-21,0.32042
2024-12-22,0.31262
2024-12-23,0.32497
2024-12-24,0.3371
2024-12-25,0.33433
2024-12-26,0.31274
2024-12-27,0.31186
2024-12-28,0.32439
2024-12-29,0.31435
2024-12-30,0.31396
2024-12-31,0.316
