date,price
2023-08-23,0.2681
2023-08-24,0.2659
2023-08-25,0.2612
2023-08-26,0.261
2023-08-27,0.2634
2023-08-28,0.2676
2023-08-29,0.2726
2023-08-30,0.2654
2023-08-31,0.2554
2023-09-01,0.2551
2023-09-02,0.2562
2023-09-03,0.2559
2023-09-04,0.2561
2023-09-05,0.2578
2023-09-06,0.2577
2023-09-07,0.2579
2023-09-08,0.2544
2023-09-09,0.2533
2023-09-10,0.249
2023-09-11,0.2421
2023-09-12,0.2455
2023-09-13,0.2487
2023-09-14,0.2513
2023-09-15,0.2505
2023-09-16,0.2503
2023-09-17,0.2471
2023-09-18,0.2516
2023-09-19,0.2548
2023-09-20,0.2517
2023-09-21,0.2449
2023-09-22,0.2449
2023-09-23,0.2461
2023-09-24,0.2427
2023-09-25,0.2459
2023-09-26,0.2455
2023-09-27,0.2446
2023-09-28,0.2489
2023-09-29,0.2494
2023-09-30,0.254
2023-10-01,0.2659
2023-10-02,0.2591
2023-10-03,0.261
2023-10-04,0.2589
2023-10-05,0.2602
2023-10-06,0.2646
2023-10-07,0.2587
2023-10-08,0.2563
2023-10-09,0.2513
2023-10-10,0.249
2023-10-11,0.2481
2023-10-12,0.246
2023-10-13,0.2458
2023-10-14,0.247
2023-10-15,0.2473
2023-10-16,0.2513
2023-10-17,0.2463
2023-10-18,0.243
2023-10-19,0.2469
2023-10-20,0.2512
2023-10-21,0.2586
2023-10-22,0.2639
2023-10-23,0.2807
2023-10-24,0.2792
2023-10-25,0.2808
2023-10-26,0.2872
2023-10-27,0.2893
2023-10-28,0.2909
2023-10-29,0.2954
2023-10-30,0.3031
2023-10-31,0.293
2023-11-01,0.3071
2023-11-02,0.323
2023-11-03,0.3292
2023-11-04,0.3278
2023-11-05,0.3419
2023-11-06,0.3624
2023-11-07,0.3512
2023-11-08,0.3577
2023-11-09,0.3684
2023-11-10,0.3859
2023-11-11,0.3844
2023-11-12,0.3834
2023-11-13,0.3568
2023-11-14,0.3579
2023-11-15,0.3788
2023-11-16,0.3706
2023-11-17,0.3671
2023-11-18,0.3772
2023-11-19,0.384
2023-11-20,0.3804
2023-11-21,0.3566
2023-11-22,0.3805
2023-11-23,0.3873
2023-11-24,0.3862
2023-11-25,0.3941
2023-11-26,0.3873
2023-11-27,0.3777
2023-11-28,0.3858
2023-11-29,0.3816
2023-11-30,0.3759
2023-12-01,0.3844
2023-12-02,0.3976
2023-12-03,0.3949
2023-12-04,0.4068
2023-12-05,0.4257
2023-12-06,0.4429
2023-12-07,0.4555
2023-12-08,0.5454
2023-12-09,0.5791
2023-12-10,0.5948
2023-12-11,0.5507
2023-12-12,0.5784
2023-12-13,0.6675
2023-12-14,0.6433
2023-12-15,0.6004
2023-12-16,0.6078
2023-12-17,0.5804
2023-12-18,0.6021
2023-12-19,0.5761
2023-12-20,0.5894
2023-12-21,0.6351
2023-12-22,0.6226
2023-12-23,0.613
2023-12-24,0.5919
2023-12-25,0.6242
2023-12-26,0.6087
2023-12-27,0.6334
2023-12-28,0.6158
2023-12-29,0.6083
2023-12-30,0.6011
2023-12-31,0.594
2024-01-01,0.6232
2024-01-02,0.605
2024-01-03,0.5569
2024-01-04,0.5699
2024-01-05,0.5414
2024-01-06,0.5227
2024-01-07,0.4945
2024-01-08,0.5412
2024-01-09,0.5124
2024-01-10,0.566
2024-01-11,0.582
2024-01-12,0.5476
2024-01-13,0.5491
2024-01-14,0.5251
2024-01-15,0.5276
2024-01-16,0.5356
2024-01-17,0.5282
2024-01-18,0.5026
2024-01-19,0.5044
2024-01-20,0.516
2024-01-21,0.5032
2024-01-22,0.4786
2024-01-23,0.4773
2024-01-24,0.4765
